iteration,model,mean_loss,std_loss
424,util,3.038402877927127e-15,3.770896596682876e-15
425,util,3.068957143199809e-15,3.52133336641622e-15
426,util,2.98474209355561e-15,3.661031859454274e-15
427,util,2.9074890709406484e-15,3.3498156333760088e-15
428,util,2.9721595700659975e-15,3.342786501820449e-15
429,util,3.1803032435981853e-15,3.927633861544601e-15
430,util,2.980971952477845e-15,3.4983118147677632e-15
431,util,3.090236402669344e-15,3.738368812210527e-15
432,util,2.9672792127775076e-15,3.5036804302485347e-15
433,util,2.8721932314646564e-15,3.3590278287185973e-15
434,util,3.0443009181971022e-15,3.529260244703811e-15
435,util,2.8527874535402685e-15,3.345817194379685e-15
436,util,2.9510884567878312e-15,3.688553412794863e-15
437,util,2.973200391197935e-15,3.668565380498913e-15
438,util,3.022929136071764e-15,3.69686598765073e-15
439,util,2.825702630268864e-15,3.118452292981288e-15
440,util,2.9047366429268595e-15,3.602090202314268e-15
441,util,3.0490425020143187e-15,3.43991536005634e-15
442,util,2.9068183059322885e-15,3.4801240601957037e-15
443,util,2.9981110180506233e-15,3.618172732376312e-15
444,util,3.2194848614331815e-15,4.0920717144730906e-15
445,util,2.890303746094478e-15,3.6162759992011896e-15
446,util,2.5364201548962386e-15,3.3015240668988443e-15
447,util,2.6175358090901904e-15,3.432128366536622e-15
448,util,2.9506027214180735e-15,3.563925255642001e-15
449,util,3.006946545956219e-15,3.919903677974747e-15
450,util,3.0103003477707855e-15,3.571350724896022e-15
451,util,2.987402001328963e-15,3.3678268928396345e-15
452,util,3.0295210752302312e-15,3.8674163305015395e-15
453,util,3.0410165062707643e-15,4.004902424864051e-15
454,util,3.1028651756778208e-15,3.641079345945155e-15
455,util,3.1954531636804105e-15,3.786713710057762e-15
456,util,3.041733533075417e-15,3.616874888133643e-15
457,util,3.0705299392921336e-15,3.8486298410181556e-15
458,util,2.755827970587985e-15,4.036343427531251e-15
459,util,2.799242312713816e-15,3.797414314739961e-15
460,util,2.8530187520889165e-15,3.7347824726416765e-15
461,util,3.0651638606463256e-15,4.0834741029050845e-15
462,util,2.9580504560279358e-15,3.816954358657017e-15
463,util,2.952152417145556e-15,3.827236551016826e-15
464,util,3.0955562189646485e-15,3.929429203712647e-15
465,util,2.954349721675661e-15,3.8460746063107994e-15
466,util,2.8364579351945583e-15,3.634030486898022e-15
467,util,2.8517697367188244e-15,3.870860712676516e-15
468,util,2.705266575185755e-15,3.3865658503265404e-15
469,util,2.5806671739768232e-15,3.31159237668421e-15
470,util,2.9400093589431267e-15,3.61460597052618e-15
471,util,3.070830631114247e-15,4.044066639378053e-15
472,util,3.158977714285958e-15,5.193971243835489e-15
473,util,3.591594609557265e-15,5.481112280349762e-15
474,util,3.1688078360971445e-15,4.03402635486834e-15
475,util,2.662199163070596e-15,3.5567829040333e-15
476,util,2.790499328414441e-15,3.770581951034975e-15
477,util,2.6282679645206502e-15,3.495952820251705e-15
478,util,3.021078741141649e-15,4.016788804072761e-15
479,util,2.919400833363417e-15,3.907709192235185e-15
480,util,2.8046777846723806e-15,4.2901311032154964e-15
481,util,3.1946204740263663e-15,4.0956841548431425e-15
482,util,2.9106809623846e-15,3.982886394178013e-15
483,util,2.9392460531988634e-15,3.846949624729944e-15
484,util,3.1772963986962717e-15,4.021445550607907e-15
485,util,2.7503231136546446e-15,3.4436162359968145e-15
486,util,2.93381059246514e-15,3.8343027083876585e-15
487,util,2.539797094118863e-15,3.145523518883918e-15
488,util,2.9733391734352554e-15,4.126554346191262e-15
489,util,2.857297730919602e-15,4.202842681034929e-15
490,util,2.9253220238172545e-15,3.8413771287673084e-15
491,util,3.181367211650758e-15,4.3263674196774756e-15
492,util,3.0251958399137525e-15,3.8348862594252834e-15
493,util,3.1743357861637006e-15,4.27762304069955e-15
494,util,2.7820569897908405e-15,3.90481109852916e-15
495,util,2.7709085070747576e-15,3.5938796917848775e-15
496,util,2.6124010361171235e-15,3.5109916123679687e-15
497,util,3.3656179661623168e-15,4.770485048129168e-15
498,util,2.895623554949293e-15,3.755779891156607e-15
499,util,2.938020195854306e-15,3.787916400742057e-15
500,util,2.889586718332364e-15,3.7823977127886774e-15
501,util,3.0900744853442077e-15,4.061775117372871e-15
502,util,2.6111751772815727e-15,3.3086785411383585e-15
503,util,2.786821699993933e-15,3.742672437063962e-15
504,util,2.8906275524551732e-15,3.882146766374455e-15
505,util,2.884128128201827e-15,3.5685119048009914e-15
506,util,3.2898683709334783e-15,4.526909511400568e-15
507,util,3.289590835741032e-15,5.218201871811236e-15
508,util,3.2374797388210552e-15,4.36989231966497e-15
509,util,3.1207906640398015e-15,4.121802884880377e-15
510,util,2.701010712068248e-15,3.659774699242371e-15
511,util,2.4713564693364633e-15,3.3585261995483303e-15
512,util,2.774424211811178e-15,3.6017219350657895e-15
513,util,2.7872149015740363e-15,3.74114400097398e-15
514,util,3.253369789735117e-15,5.1286620172177874e-15
515,util,2.7360983881992135e-15,3.4121159488844275e-15
516,util,2.634027266302888e-15,3.63631831804179e-15
517,util,2.432082304952552e-15,3.2814364820303708e-15
518,util,2.6952514350207785e-15,3.77520002357763e-15
519,util,2.6909724484600902e-15,3.774289253200231e-15
520,util,3.1783834775506377e-15,4.328087686747381e-15
521,util,2.772712607925789e-15,3.723378418316207e-15
522,util,2.421859020062384e-15,3.508199062902444e-15
523,util,2.5782385429062785e-15,3.737169770440225e-15
524,util,2.5164592702365064e-15,3.2535616487864894e-15
525,util,2.3531177012244828e-15,3.167440713743168e-15
526,util,2.782172641522925e-15,3.727734689086017e-15
527,util,2.700871937426514e-15,3.904553943937385e-15
528,util,2.3675968575639346e-15,3.553215505669191e-15
